timestamp,event_type,throughput_per_sec,queue_size,total_messages
2025-11-05T10:28:33.638920,message_published_test_topic,0.26,1,1
2025-11-05T10:28:33.640933,message_published_test_topic,0.52,2,2
2025-11-05T10:28:33.642446,message_published_test_topic,0.79,3,3
2025-11-05T10:28:33.644455,message_published_test_topic,1.05,4,4
2025-11-05T10:28:33.644455,message_published_test_topic,1.31,5,5
2025-11-05T10:29:00.070502,message_published_test_topic,0.34,1,1
2025-11-05T10:29:00.075698,message_published_test_topic,0.68,2,2
2025-11-05T10:29:00.075698,message_published_test_topic,1.02,3,3
2025-11-05T10:29:00.077710,message_published_test_topic,1.37,4,4
2025-11-05T10:29:00.080729,message_published_test_topic,1.71,5,5
2025-11-05T10:29:34.676097,message_published_test_topic,360.49,1,1
2025-11-05T10:29:34.678126,message_published_test_topic,416.41,2,2
2025-11-05T10:29:34.680136,message_published_test_topic,440.36,3,3
2025-11-05T10:29:34.681649,message_published_test_topic,480.45,4,4
2025-11-05T10:29:34.683662,message_published_test_topic,483.63,5,5
2025-11-05T10:30:25.816259,message_published_test,0.00,1,1
2025-11-05T10:30:25.852233,message_published_deployments,0.37,1,1
2025-11-05T10:31:09.239765,message_published_scaling,0.53,1,1
2025-11-05T10:31:09.259045,message_published_deployments,1.05,1,3
2025-11-05T10:31:09.262261,message_published_deployments,1.57,2,3
2025-11-05T10:31:09.264654,message_published_deployments,2.08,3,4
2025-11-05T10:31:14.997005,message_published_deployments,0.65,4,5
2025-11-05T10:31:15.218453,message_published_deployments,0.76,5,6
2025-11-05T10:31:16.385042,message_published_deployments,0.77,6,7
2025-11-05T10:31:20.830656,message_published_deployments,0.59,7,8
2025-11-05T10:31:22.127885,message_published_deployments,0.61,8,9
2025-11-05T10:31:23.584176,message_published_deployments,0.62,9,10
2025-11-05T10:31:26.374443,message_published_deployments,0.58,10,11
2025-11-05T10:31:27.258286,message_published_deployments,0.60,11,12
2025-11-05T10:31:29.733654,message_published_deployments,0.58,12,13
2025-11-05T10:31:31.468933,message_published_deployments,0.58,13,14
2025-11-05T10:31:33.477993,message_published_deployments,0.57,14,15
2025-11-05T10:31:34.682787,message_published_deployments,0.59,15,16
2025-11-05T10:31:36.630849,message_published_deployments,0.58,16,17
2025-11-05T10:31:38.975109,message_published_deployments,0.57,17,18
2025-11-05T10:31:39.561083,message_published_deployments,0.59,18,19
2025-11-05T10:31:41.254061,message_published_deployments,0.59,19,20
2025-11-05T10:31:44.743626,message_published_deployments,0.56,20,21
2025-11-05T10:31:45.004538,message_published_deployments,0.58,21,22
2025-11-05T10:31:46.137012,message_published_deployments,0.59,22,23
2025-11-05T10:31:48.212599,message_published_deployments,0.59,23,24
2025-11-05T10:31:50.507145,message_published_deployments,0.58,24,25
2025-11-05T10:31:50.616781,message_published_deployments,0.60,25,26
2025-11-05T10:31:54.410731,message_published_deployments,0.57,26,27
2025-11-05T10:31:56.469119,message_published_deployments,0.57,27,28
2025-11-05T10:31:57.847726,message_published_deployments,0.57,28,29
2025-11-05T10:31:59.615294,message_published_deployments,0.57,29,30
2025-11-05T10:32:00.217541,message_published_deployments,0.59,30,31
2025-11-05T10:32:04.468973,message_published_deployments,0.56,31,32
2025-11-05T10:32:04.569048,message_published_deployments,0.58,32,33
2025-11-05T10:32:07.590095,message_published_deployments,0.56,33,34
2025-11-05T10:32:07.721301,message_published_deployments,0.58,34,35
2025-11-05T10:32:09.324441,message_published_scaling,0.58,2,36
2025-11-05T17:06:16.814120,message_published_test_topic,1002.22,1,1
2025-11-05T17:06:16.817123,message_published_test_topic,0.00,1,1
2025-11-05T17:06:16.820121,message_published_test_topic,999.12,1,1
2025-11-05T17:19:46.323767,message_published_test_topic,0.00,1,1
2025-11-05T17:19:46.327293,message_published_test_topic,0.00,1,1
2025-11-05T17:19:46.330374,message_published_test_topic,324.61,1,1
2025-11-05T17:21:14.284493,message_published_test,499.02,1,1
2025-11-05T17:21:14.316689,message_published_deployments,0.13,1,1
